課程名稱,學分,任課老師,選別
資料庫管理系統,3,劉敦仁,資訊技術類
資料探勘專題,3,劉敦仁,資訊技術類
演算式決策與學習專題,3,陳柏安,資訊技術類
智慧醫院管理與實務,3,黃興進,資訊技術類
網路科學與社會計算,3,李永銘,資訊技術類
數位內容理論與設計,3,蔡銘箴,資訊技術類
數位內容與機器學習,3,蔡銘箴,資訊技術類
數位內容理論與應用,3,蔡銘箴,資訊技術類
次經驗法則計算,3,尹邦嚴,資訊技術類
資訊安全,3,古政元,資訊技術類
商用資料通訊,3,古政元,資訊技術類
資料通訊與網路,3,古政元,資訊技術類
分散式系統,3,莊詠婷,資訊技術類
網路攻擊與防禦,3,莊詠婷,資訊技術類
量子計算導論,3,羅濟群,資訊技術類
雲端計算理論與實務,3,廖秀玉,經營管理類
高等演算法,3,林妙聰,研究方法類
排程理論與應用,3,林妙聰,研究方法類
最佳化方法與應用,3,林妙聰,研究方法類
演算法,3,林妙聰,研究方法類
演算式決策與學習,3,陳柏安,研究方法類
演算式機制設計與社會選擇,3,陳柏安,研究方法類
經濟與計算,3,陳柏安,研究方法類
計算理論,3,陳柏安,研究方法類
計算理論概論,3,陳柏安,研究方法類
經濟與智慧計算概論,3,陳柏安,研究方法類
科學的歷程,3,羅濟群,研究方法類
資訊經濟,3,李永銘,研究方法類
資料探勘研究與實務,3,劉敦仁,研究方法類
隨機過程,3,古政元,研究方法類
問卷調查與資料分析,3,黃興進,研究方法類
離散數學,3,徐熊健,研究方法類
系統發展與專案管理,3,黃興進,經營管理類
雲端大數據基礎建設之實務,3,資管所,經營管理類
管理資訊系統,3,李永銘,經營管理類
賽局與策略,3,李永銘,經營管理類
網路經濟專題,3,李永銘,經營管理類
數位金融,3,李永銘,經營管理類
商業談判,3,蔡銘箴,經營管理類
電子商務,3,蔡銘箴,經營管理類
策略管理,3,楊千,經營管理類
